epoch,train_loss,mpjpe,baseline,pck
0,0.044346,166.20,143.75,0.5538
1,0.018069,140.28,143.75,0.6677
2,0.015646,126.56,143.75,0.7236
3,0.014082,123.22,143.75,0.7429
4,0.013333,120.29,143.75,0.7317
5,0.012227,116.58,143.75,0.7393
6,0.011815,117.52,143.75,0.7330
7,0.011215,115.56,143.75,0.7343
8,0.011090,113.14,143.75,0.7463
9,0.010467,108.15,143.75,0.7688
10,0.010251,109.77,143.75,0.7608
11,0.010152,104.98,143.75,0.7760
12,0.009574,105.35,143.75,0.7695
13,0.009469,104.04,143.75,0.7747
14,0.009354,108.43,143.75,0.7611
15,0.009268,104.65,143.75,0.7695
16,0.009114,101.04,143.75,0.7902
17,0.008864,105.01,143.75,0.7680
18,0.008856,104.74,143.75,0.7752
19,0.008717,106.26,143.75,0.7677
20,0.008506,105.75,143.75,0.7710
21,0.008469,110.56,143.75,0.7660
22,0.008441,103.14,143.75,0.7735
23,0.008325,102.47,143.75,0.7747
24,0.008155,101.22,143.75,0.7815
25,0.008110,102.54,143.75,0.7757
26,0.007956,101.88,143.75,0.7853
27,0.008038,97.42,143.75,0.8036
28,0.007936,100.82,143.75,0.7856
29,0.007643,98.58,143.75,0.7922
30,0.007702,100.26,143.75,0.7854
31,0.007688,97.97,143.75,0.7918
32,0.007578,96.38,143.75,0.8025
33,0.007645,103.28,143.75,0.7682
34,0.007403,96.90,143.75,0.7928
35,0.007458,96.57,143.75,0.7994
36,0.007255,97.30,143.75,0.7894
37,0.007250,99.27,143.75,0.7867
38,0.007233,100.58,143.75,0.7814
39,0.007100,96.90,143.75,0.7966
40,0.007108,97.81,143.75,0.7952
41,0.007131,96.77,143.75,0.7962
42,0.007003,98.20,143.75,0.7921
43,0.006913,95.85,143.75,0.7959
44,0.006906,93.95,143.75,0.8058
45,0.006737,94.24,143.75,0.8038
46,0.006838,95.60,143.75,0.7969
47,0.006793,96.30,143.75,0.8000
48,0.006868,97.39,143.75,0.7868
49,0.006634,94.87,143.75,0.8043
50,0.006679,98.28,143.75,0.7898
51,0.006536,93.60,143.75,0.8050
52,0.006559,95.60,143.75,0.7995
53,0.006487,97.93,143.75,0.7965
54,0.006570,96.06,143.75,0.8036
55,0.006284,94.49,143.75,0.8039
56,0.006392,95.21,143.75,0.8022
57,0.006340,96.86,143.75,0.7922
58,0.006392,95.71,143.75,0.8000
59,0.006398,94.56,143.75,0.8034
